company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense
Chesapeake Energy,1.0,Distressed,12124000000.0,1819000000.0,2471000000.0,737000000.0,5009000000.0,0.0,2901000000.0,9709000000.0,18578000000.0,616000000,4575000000,-1515000000,-2759000000,28287000000,2916000000.0,4830000000,1599000000.0,25000000.0,104000000.0
Bon Ton Stores,1.0,Distressed,1982208000.0,166961000.0,24377000.0,427393000.0,3419787000.0,0.0,1644502000.0,4501458000.0,4207586000.0,208127000,322314000,-303710000,2929000,8709044000,2145000000.0,1001779000,987000000.0,0.0,0.0
Momentive,1.0,Distressed,40550000000.0,1157000000.0,1753000000.0,0.0,2574301000.0,2465000000.0,12320000000.0,21251000000.0,8878000000.0,1864000000,1559000000,796000000,-1627000000,30877000000,13489000000.0,9916000000,8284000000.0,0.0,107270000.0
Gymboree,1.0,Distressed,2247000000.0,49439000.0,29838000.0,157445000.0,1138455000.0,0.0,231052000.0,1494632000.0,-348602000.0,18164000,73794000,-69926000,-48693000,1156744000,260455000.0,-863539000,26696000.0,206642000.0,85990000.0
Borders Group,1.0,Distressed,2247000000.0,-55000000.0,-63000000.0,1205000000.0,0.0,0.0,1355000000.0,3246000000.0,3430000000.0,322000000,585285000,-168906000,-715406000,6676000000,2145000000.0,496000000,987000000.0,471000000.0,12000000.0
RadioShack,1.0,Distressed,2247000000.0,-191400000.0,-166100000.0,278400000.0,614100000.0,0.0,584600000.0,1384800000.0,206400000.0,179800000,35800000,-313500000,-78200000,1591200000,1333000000.0,960600000,987000000.0,802300000.0,11700000.0
Circuit City,1.0,Distressed,2247000000.0,26804000000.0,21590000000.0,63937000000.0,41438000000.0,8495000000.0,54126000000.0,117666000000.0,1485500000.0,19709000000,24530000000,-5539000000,-23588000000,199210000000,55624000000.0,168978000000,17178000000.0,14191000000.0,772000000.0
Smurfit Stone,1.0,Distressed,42475000.0,23088000.0,18916000.0,82490000.0,31452000.0,4293000.0,39563000.0,63335000.0,129467000.0,10454000,25079000,-21235000,-8002000,192802000,122202000.0,112147000,36611000.0,65414000.0,1408000.0
Pacific Gas,1.0,Distressed,13758200000.0,49439000.0,-197000000.0,0.0,2424999000.0,32400000.0,3287800000.0,5242000000.0,1485500000.0,964500000,511300000,-477600000,-1445200000,19412600000,4818500000.0,4738000000,987000000.0,0.0,107270000.0
Washington Mutual,1.0,Distressed,2225000000.0,923000000.0,-2483000.0,0.0,2424999000.0,0.0,1644502000.0,14126000000.0,4057000000.0,753000000,-724000000,3654000000,-2697000000,18939000000,2145000000.0,4971000000,987000000.0,0.0,537000000.0
Patriot Coal,1.0,Distressed,2247000000.0,-730594000.0,-492324000.0,0.0,442246000.0,25000000.0,622898000.0,4072036000.0,-233229000.0,333929000,-28164000,330394000,-162463000,3838807000,640725000.0,-730810000,171000000.0,99219000.0,57419000.0
Filene's,1.0,Distressed,9643000000.0,2851000000.0,24377000.0,0.0,10911000000.0,2149000000.0,1644502000.0,184333000000.0,29177000000.0,1420888000,3003000000,1800000000,-6816000000,213510000000,2145000000.0,20882000000,987000000.0,0.0,3109000000.0
General Motors,1.0,Distressed,2247000000.0,65945000.0,1430505000.0,8940698000.0,4795751000.0,943540000.0,9787705000.0,5242000000.0,4422991000.0,333547000,890762000,-209254000,-711587000,20795540000,10564734000.0,4568769000,987000000.0,6071996000.0,64469000.0
