company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Chesapeake Energy,1.0,Distressed,12124000000.0,1819000000.0,2471000000.0,737000000.0,5009000000.0,0.0,2901000000.0,9709000000.0,18578000000.0,616000000,4575000000,-1515000000,-2759000000,28287000000,2916000000.0,4830000000,1599000000.0,25000000.0,104000000.0,0.17707780959451339,0.26961998062224135,0.1500329924117453,0.203810623556582,1.5770423991726992,0.913355959273308,0.42860678049987627,0.008578027053777632,0.17074981440237566,0.3773507093368525
Bon Ton Stores,1.0,Distressed,1982208000.0,166961000.0,24377000.0,427393000.0,3419787000.0,0.0,1644502000.0,4501458000.0,4207586000.0,208127000,322314000,-303710000,2929000,8709044000,2145000000.0,1001779000,987000000.0,0.0,0.0,0.39267076845633114,0.8127669880069,0.08422980837530673,0.012297902137414439,0.195994896935364,0.09424972958842173,0.2276033971122433,0.0,0.11502743584714924,0.1626035209221232
Momentive,1.0,Distressed,40550000000.0,1157000000.0,1753000000.0,0.0,2574301000.0,2465000000.0,12320000000.0,21251000000.0,8878000000.0,1864000000,1559000000,796000000,-1627000000,30877000000,13489000000.0,9916000000,8284000000.0,0.0,107270000.0,0.08337276937526314,0.2899640684838928,0.028532675709001233,0.043230579531442666,0.1265422077922078,0.6056012874951298,1.3132752534248793,0.00264537607891492,0.3211451889756129,0.03844636251541307
Gymboree,1.0,Distressed,2247000000.0,49439000.0,29838000.0,157445000.0,1138455000.0,0.0,231052000.0,1494632000.0,-348602000.0,18164000,73794000,-69926000,-48693000,1156744000,260455000.0,-863539000,26696000.0,206642000.0,85990000.0,0.984189241526215,-3.265773001876065,0.022002225189141078,0.013279038718291055,0.31938264979312014,0.06481942632778634,1.9425214221988616,0.0382688028482421,-0.746525592525226,0.0328411214953271
Borders Group,1.0,Distressed,2247000000.0,-55000000.0,-63000000.0,1205000000.0,0.0,0.0,1355000000.0,3246000000.0,3430000000.0,322000000,585285000,-168906000,-715406000,6676000000,2145000000.0,496000000,987000000.0,471000000.0,12000000.0,0.0,0.0,-0.024477080551846907,-0.028037383177570093,0.43194464944649447,5.0,0.3365787896944278,0.0053404539385847796,0.07429598562013182,0.2604739652870494
RadioShack,1.0,Distressed,2247000000.0,-191400000.0,-166100000.0,278400000.0,614100000.0,0.0,584600000.0,1384800000.0,206400000.0,179800000,35800000,-313500000,-78200000,1591200000,1333000000.0,960600000,987000000.0,802300000.0,11700000.0,0.3859351432880845,2.9752906976744184,-0.08518024032042723,-0.07392078326657765,0.06123845364351693,0.05829669434945449,1.4121417797888387,0.00520694259012016,0.6036953242835595,0.01593235425011126
Circuit City,1.0,Distressed,2247000000.0,26804000000.0,21590000000.0,63937000000.0,41438000000.0,8495000000.0,54126000000.0,117666000000.0,1485500000.0,19709000000,24530000000,-5539000000,-23588000000,199210000000,55624000000.0,168978000000,17178000000.0,14191000000.0,772000000.0,0.20801164600170674,10.0,1.0,1.0,0.4532017884196135,0.5919687243592837,0.011279554239245019,0.34356920338228747,0.8482405501731841,1.0
Smurfit Stone,1.0,Distressed,42475000.0,23088000.0,18916000.0,82490000.0,31452000.0,4293000.0,39563000.0,63335000.0,129467000.0,10454000,25079000,-21235000,-8002000,192802000,122202000.0,112147000,36611000.0,65414000.0,1408000.0,0.16313108785178576,0.24293449295959588,0.5435668040023544,0.4453443201883461,0.6339003614488284,0.7973737759125016,0.2203037312890945,0.0331489111241907,0.5816692772896547,0.5904414361389052
Pacific Gas,1.0,Distressed,13758200000.0,49439000.0,-197000000.0,0.0,2424999000.0,32400000.0,3287800000.0,5242000000.0,1485500000.0,964500000,511300000,-477600000,-1445200000,19412600000,4818500000.0,4738000000,987000000.0,0.0,107270000.0,0.12491881561460083,1.6324463143722652,0.0035934206509572473,-0.014318733555261589,0.15551432568891052,0.21084544777131867,0.7087252609130152,0.007796804814583303,0.24406828554650073,0.03716329170967132
Washington Mutual,1.0,Distressed,2225000000.0,923000000.0,-2483000.0,0.0,2424999000.0,0.0,1644502000.0,14126000000.0,4057000000.0,753000000,-724000000,3654000000,-2697000000,18939000000,2145000000.0,4971000000,987000000.0,0.0,537000000.0,0.12804261048629811,0.5977320680305644,0.4148314606741573,-0.0011159550561797753,-0.44025486135012304,-0.29855682414714396,0.1174824436348276,0.24134831460674158,0.26247425946459685,-0.3253932584269663
Patriot Coal,1.0,Distressed,2247000000.0,-730594000.0,-492324000.0,0.0,442246000.0,25000000.0,622898000.0,4072036000.0,-233229000.0,333929000,-28164000,330394000,-162463000,3838807000,640725000.0,-730810000,171000000.0,99219000.0,57419000.0,0.1152040204157177,-1.8961878668604677,-0.3251419670672007,-0.21910280373831775,-0.04521446528966219,-0.06368401297015688,0.5853381011340242,0.025553627058299954,-0.1903742490831136,-0.012534045393858478
Filene's,1.0,Distressed,9643000000.0,2851000000.0,24377000.0,0.0,10911000000.0,2149000000.0,1644502000.0,184333000000.0,29177000000.0,1420888000,3003000000,1800000000,-6816000000,213510000000,2145000000.0,20882000000,987000000.0,0.0,3109000000.0,0.051102992834059294,0.3739589402611646,0.29565487918697503,0.0025279477341076427,1.8260847356828998,0.2752268353038218,0.04516416092923048,0.3224100383698019,0.0978033815746335,0.3114176086280203
General Motors,1.0,Distressed,2247000000.0,65945000.0,1430505000.0,8940698000.0,4795751000.0,943540000.0,9787705000.0,5242000000.0,4422991000.0,333547000,890762000,-209254000,-711587000,20795540000,10564734000.0,4568769000,987000000.0,6071996000.0,64469000.0,0.23061440097251623,1.0842778111011304,0.029348019581664442,0.6366288384512684,0.09100825985253949,0.1857398351165438,0.10805201499937006,0.028691143747218515,0.2196994644043867,0.39642278593680463
