company,status,label,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Chesapeake Energy,Distressed,1.0,0.17707780959451339,0.26961998062224135,0.1500329924117453,0.203810623556582,1.5770423991726992,0.913355959273308,0.42860678049987627,0.008578027053777632,0.17074981440237566,0.3773507093368525
Bon Ton Stores,Distressed,1.0,0.39267076845633114,0.8127669880069,0.08422980837530673,0.012297902137414439,0.195994896935364,0.09424972958842173,0.2276033971122433,0.0,0.11502743584714924,0.1626035209221232
Momentive,Distressed,1.0,0.08337276937526314,0.2899640684838928,0.028532675709001233,0.043230579531442666,0.1265422077922078,0.6056012874951298,1.3132752534248793,0.00264537607891492,0.3211451889756129,0.03844636251541307
Gymboree,Distressed,1.0,0.984189241526215,-3.265773001876065,0.022002225189141078,0.013279038718291055,0.31938264979312014,0.06481942632778634,1.9425214221988616,0.0382688028482421,-0.746525592525226,0.0328411214953271
Borders Group,Distressed,1.0,0.0,0.0,-0.024477080551846907,-0.028037383177570093,0.43194464944649447,5.0,0.3365787896944278,0.0053404539385847796,0.07429598562013182,0.2604739652870494
RadioShack,Distressed,1.0,0.3859351432880845,2.9752906976744184,-0.08518024032042723,-0.07392078326657765,0.06123845364351693,0.05829669434945449,1.4121417797888387,0.00520694259012016,0.6036953242835595,0.01593235425011126
Circuit City,Distressed,1.0,0.20801164600170674,10.0,1.0,1.0,0.4532017884196135,0.5919687243592837,0.011279554239245019,0.34356920338228747,0.8482405501731841,1.0
Smurfit Stone,Distressed,1.0,0.16313108785178576,0.24293449295959588,0.5435668040023544,0.4453443201883461,0.6339003614488284,0.7973737759125016,0.2203037312890945,0.0331489111241907,0.5816692772896547,0.5904414361389052
Pacific Gas,Distressed,1.0,0.12491881561460083,1.6324463143722652,0.0035934206509572473,-0.014318733555261589,0.15551432568891052,0.21084544777131867,0.7087252609130152,0.007796804814583303,0.24406828554650073,0.03716329170967132
Washington Mutual,Distressed,1.0,0.12804261048629811,0.5977320680305644,0.4148314606741573,-0.0011159550561797753,-0.44025486135012304,-0.29855682414714396,0.1174824436348276,0.24134831460674158,0.26247425946459685,-0.3253932584269663
Patriot Coal,Distressed,1.0,0.1152040204157177,-1.8961878668604677,-0.3251419670672007,-0.21910280373831775,-0.04521446528966219,-0.06368401297015688,0.5853381011340242,0.025553627058299954,-0.1903742490831136,-0.012534045393858478
Filene's,Distressed,1.0,0.051102992834059294,0.3739589402611646,0.29565487918697503,0.0025279477341076427,1.8260847356828998,0.2752268353038218,0.04516416092923048,0.3224100383698019,0.0978033815746335,0.3114176086280203
General Motors,Distressed,1.0,0.23061440097251623,1.0842778111011304,0.029348019581664442,0.6366288384512684,0.09100825985253949,0.1857398351165438,0.10805201499937006,0.028691143747218515,0.2196994644043867,0.39642278593680463
